institution_name,state,student_enrollment,faculty_count,placement_percentage,research_publications,infrastructure_score,accreditation_grade,nirf_rank,data_sources
Malaviya National Institute of Technology Jaipur,Rajasthan,4500,300,67.5155,100,79.43,A+,54,"ugc,nirf,aishe,naac"
Motilal Nehru National Institute of Technology Allahabad,Uttar Pradesh,4200,290,69.49600000000001,100,81.76,A+,56,"ugc,nirf,aishe,naac"
National Institute of Technology Silchar,Assam,3800,270,68.98599999999999,100,81.16,A+,57,"ugc,nirf,aishe,naac"
National Institute of Technology Hamirpur,Himachal Pradesh,3600,260,67.898,100,79.88,A+,59,"ugc,nirf,aishe,naac"
National Institute of Technology Meghalaya,Meghalaya,1200,110,66.215,100,77.9,A,61,"ugc,nirf,aishe,naac"
National Institute of Technology Nagaland,Nagaland,900,85,66.5635,100,78.31,A,63,"ugc,nirf,aishe,naac"
National Institute of Technology Patna,Bihar,2800,200,68.221,100,80.26,A+,64,"ugc,nirf,aishe,naac"
National Institute of Technology Raipur,Chhattisgarh,3200,220,67.524,100,79.44,A+,66,"ugc,nirf,aishe,naac"
National Institute of Technology Srinagar,Jammu And Kashmir,2800,210,64.634,100,76.04,A,67,"ugc,nirf,aishe,naac"
National Institute of Technology Jamshedpur,Jharkhand,3500,240,64.8805,100,76.33,A+,69,"ugc,nirf,aishe,naac"
National Institute of Technology Kurukshetra,Haryana,4000,280,63.563,100,74.78,A+,70,"ugc,nirf,aishe,naac"
National Institute of Technology Surathkal,Karnataka,6200,400,80.18900000000001,100,94.34,A+,21,"ugc,nirf,aishe,naac"
Indian Institute of Science Bengaluru,Karnataka,4200,520,84.762,100,99.0,A++,1,"ugc,nirf,aishe,naac"
All India Institute of Medical Sciences New Delhi,Delhi,2800,850,84.762,100,99.0,A++,1,"ugc,nirf,aishe,naac"
Post Graduate Institute of Medical Education and Research Chandigarh,Punjab,1200,420,83.1895,100,97.87,A++,2,"ugc,nirf,aishe,naac"
Christian Medical College Vellore,Tamil Nadu,2500,680,81.99099999999999,100,96.46,A++,3,"ugc,nirf,aishe,naac"
National Law School of India University,Karnataka,1200,95,84.762,100,99.0,A++,1,"ugc,nirf,aishe,naac"
Indian Institute of Management Ahmedabad,Gujarat,1100,120,84.762,100,99.0,A++,1,"ugc,nirf,aishe,naac"
Indian Institute of Management Bangalore,Karnataka,1200,130,83.1895,100,97.87,A++,2,"ugc,nirf,aishe,naac"
Indian Institute of Management Calcutta,West Bengal,1150,125,81.99099999999999,100,96.46,A++,3,"ugc,nirf,aishe,naac"
Tata Institute of Social Sciences,Maharashtra,5500,380,62.407,100,73.42,A++,80,"ugc,nirf,aishe,naac"
TERI School of Advanced Studies,Delhi,1800,150,46.087,100,54.22,A+,130,"ugc,nirf,aishe,naac"
Symbiosis International University,Maharashtra,22000,1200,57.392,100,67.52,A+,85,"ugc,nirf,aishe,naac"
Bharati Vidyapeeth Deemed University,Maharashtra,28000,1500,58.1485,100,68.41,A+,92,"ugc,nirf,aishe,naac"
Lovely Professional University,Punjab,35000,2000,56.9585,100,67.01,A+,100,"ugc,nirf,aishe,naac"
Chandigarh University,Punjab,28000,1600,54.468,100,64.08,A+,105,"ugc,nirf,aishe,naac"
Graphic Era University,Uttarakhand,15000,850,49.606,100,58.36,A,125,"ugc,nirf,aishe,naac"
Shiv Nadar University,Uttar Pradesh,4500,320,57.324,100,67.44,A+,88,"ugc,nirf,aishe,naac"
Ashoka University,Haryana,2800,220,56.95,100,67.0,A+,95,"ugc,nirf,aishe,naac"
O.P. Jindal Global University,Haryana,6500,450,57.5705,100,67.73,A+,90,"ugc,nirf,aishe,naac"
Azim Premji University,Karnataka,2200,180,54.468,100,64.08,A+,110,"ugc,nirf,aishe,naac"
FLAME University,Maharashtra,3500,250,51.816,100,60.96,A+,115,"ugc,nirf,aishe,naac"
Christ University,Karnataka,22000,1400,58.105999999999995,100,68.36,A+,98,"ugc,nirf,aishe,naac"
Presidency University Bengaluru,Karnataka,8500,520,51.102,100,60.12,A,120,"ugc,nirf,aishe,naac"
REVA University,Karnataka,18000,950,47.736,100,56.16,A,128,"ugc,nirf,aishe,naac"
PES University,Karnataka,12000,680,61.2255,100,72.03,A+,75,"ugc,nirf,aishe,naac"
RV College of Engineering,Karnataka,4200,280,61.378499999999995,100,72.21,A+,78,"ugc,nirf,aishe,naac"
BMS College of Engineering,Karnataka,4800,310,63.1465,100,74.29,A+,82,"ugc,nirf,aishe,naac"
MS Ramaiah Institute of Technology,Karnataka,5200,340,57.392,100,67.52,A+,85,"ugc,nirf,aishe,naac"
Dayananda Sagar College of Engineering,Karnataka,6500,380,57.324,100,67.44,A+,88,"ugc,nirf,aishe,naac"
Sir M. Visvesvaraya Institute of Technology,Karnataka,3800,240,58.1485,100,68.41,A+,92,"ugc,nirf,aishe,naac"
Coimbatore Institute of Technology,Tamil Nadu,4200,260,56.95,100,67.0,A+,95,"ugc,nirf,aishe,naac"
Kumaraguru College of Technology,Tamil Nadu,5500,320,58.105999999999995,100,68.36,A+,98,"ugc,nirf,aishe,naac"
Thiagarajar College of Engineering,Tamil Nadu,4800,290,52.921,100,62.26,A+,102,"ugc,nirf,aishe,naac"
Government College of Technology Coimbatore,Tamil Nadu,3500,220,54.468,100,64.08,A,105,"ugc,nirf,aishe,naac"
Mepco Schlenk Engineering College,Tamil Nadu,3200,200,54.689,100,64.34,A,108,"ugc,nirf,aishe,naac"
National Institute of Fashion Technology,Delhi,3500,280,84.762,100,99.0,A+,1,"ugc,nirf,aishe,naac"
Indian Statistical Institute Kolkata,West Bengal,1200,150,71.98649999999999,100,84.69,A++,45,"ugc,nirf,aishe,naac"
Indian Institute of Foreign Trade,Delhi,1800,120,74.273,100,87.38,A++,40,"ugc,nirf,aishe,naac"
Indian Institute of Mass Communication,Delhi,900,75,71.587,100,84.22,A+,50,"ugc,nirf,aishe,naac"
University of Madras,Tamil Nadu,8000,400,49.5635,100,58.31,B++,124,"ugc,nirf,aishe,naac"
Bangalore University,Karnataka,8350,415,49.606,100,58.36,B++,125,"ugc,nirf,aishe,naac"
University of Mysore,Karnataka,8700,430,44.998999999999995,100,52.94,B++,126,"ugc,nirf,aishe,naac"
Gulbarga University,Karnataka,9050,445,44.982,100,52.92,B++,127,"ugc,nirf,aishe,naac"
University of Burdwan,West Bengal,9400,460,47.736,100,56.16,B++,128,"ugc,nirf,aishe,naac"
North Bengal University,West Bengal,9750,475,46.035999999999994,100,54.16,B++,129,"ugc,nirf,aishe,naac"
Ranchi University,Jharkhand,10100,490,46.087,100,54.22,B++,130,"ugc,nirf,aishe,naac"
Vinoba Bhave University,Jharkhand,10450,505,46.7755,100,55.03,B++,131,"ugc,nirf,aishe,naac"
Utkal University,Odisha,10800,520,43.910999999999994,100,51.66,B++,132,"ugc,nirf,aishe,naac"
Sambalpur University,Odisha,11150,535,47.855,100,56.3,B++,133,"ugc,nirf,aishe,naac"
Berhampur University,Odisha,11500,550,47.5235,100,55.91,B++,134,"ugc,nirf,aishe,naac"
Guru Ghasidas Vishwavidyalaya,Chhattisgarh,11850,565,45.084,100,53.04,B++,135,"ugc,nirf,aishe,naac"
Pt. Ravishankar Shukla University,Chhattisgarh,12200,580,42.636,100,50.16,B++,136,"ugc,nirf,aishe,naac"
Devi Ahilya Vishwavidyalaya,Madhya Pradesh,12550,595,46.07,100,54.2,B++,137,"ugc,nirf,aishe,naac"
Jiwaji University,Madhya Pradesh,12900,610,44.319,100,52.14,B++,138,"ugc,nirf,aishe,naac"
Rani Durgavati Vishwavidyalaya,Madhya Pradesh,13250,625,43.2225,100,50.85,B++,139,"ugc,nirf,aishe,naac"
Dr. Harisingh Gour Vishwavidyalaya,Madhya Pradesh,13600,640,44.208499999999994,100,52.01,B++,140,"ugc,nirf,aishe,naac"
Mahatma Gandhi University Kottayam,Kerala,13950,655,44.2595,100,52.07,B++,141,"ugc,nirf,aishe,naac"
Calicut University,Kerala,14300,670,40.3155,100,47.43,B++,142,"ugc,nirf,aishe,naac"
Kannur University,Kerala,14650,685,42.0155,100,49.43,B++,143,"ugc,nirf,aishe,naac"
Sree Sankaracharya University of Sanskrit,Kerala,15000,700,43.656,100,51.36,B++,144,"ugc,nirf,aishe,naac"
Maharaja Ganga Singh University,Rajasthan,15350,715,42.3725,100,49.85,B++,145,"ugc,nirf,aishe,naac"
Mohanlal Sukhadia University,Rajasthan,15700,730,43.095,100,50.7,B++,146,"ugc,nirf,aishe,naac"
Jai Narain Vyas University,Rajasthan,16050,745,43.7665,100,51.49,B++,147,"ugc,nirf,aishe,naac"
Veer Surendra Sai University of Technology,Odisha,16400,760,41.667,100,49.02,B++,148,"ugc,nirf,aishe,naac"
Indira Gandhi National Open University,Delhi,16750,775,38.539,100,45.34,B+,149,"ugc,nirf,aishe,naac"
English and Foreign Languages University,Telangana,17100,790,37.8505,100,44.53,B+,150,"ugc,nirf,aishe,naac"
Central University of Punjab,Punjab,17450,805,40.035,100,47.1,B+,151,"ugc,nirf,aishe,naac"
Central University of Gujarat,Gujarat,17800,820,38.3435,100,45.11,B+,152,"ugc,nirf,aishe,naac"
Central University of Kashmir,Jammu And Kashmir,18150,835,41.701,100,49.06,B+,153,"ugc,nirf,aishe,naac"
Central University of Himachal Pradesh,Himachal Pradesh,18500,850,39.61,100,46.6,B+,154,"ugc,nirf,aishe,naac"
Central University of Haryana,Haryana,18850,865,37.927,100,44.62,B+,155,"ugc,nirf,aishe,naac"
Central University of Jharkhand,Jharkhand,19200,880,36.7455,100,43.23,B+,156,"ugc,nirf,aishe,naac"
Central University of Karnataka,Karnataka,19550,895,37.0855,100,43.63,B+,157,"ugc,nirf,aishe,naac"
Central University of Kerala,Kerala,19900,910,40.3835,100,47.51,B+,158,"ugc,nirf,aishe,naac"
Central University of Tamil Nadu,Tamil Nadu,20250,925,39.2785,100,46.21,B+,159,"ugc,nirf,aishe,naac"
Central University of Rajasthan,Rajasthan,20600,940,37.680499999999995,100,44.33,B+,160,"ugc,nirf,aishe,naac"
Central University of South Bihar,Bihar,20950,955,36.941,100,43.46,B+,161,"ugc,nirf,aishe,naac"
Central University of Jammu,Jammu And Kashmir,21300,970,34.6205,100,40.73,B+,162,"ugc,nirf,aishe,naac"
G.L. Bajaj Institute of Technology and Management,Uttar Pradesh,861,56,81.12,0,0.0,,0,NIRF_2025
ABES Engineering College,Uttar Pradesh,5920,391,82.89,0,0.0,A+,0,NIRF_2025
Ajay Kumar Garg Engineering College,Uttar Pradesh,5351,299,93.67,0,0.0,,0,NIRF_2025
Noida Institute of Engineering and Technology (Pharmacy Institute),Uttar Pradesh,534,56,90.0,0,0.0,,0,NIRF_2025
IMS Engineering College,Uttar Pradesh,2378,162,76.83,0,0.0,B+,0,NIRF_2025
