Institute Name,State,Rank,Score,TLR,RP,GO,OI,Peer Perception,Category
Indian Institute of Technology Jammu,Jammu and Kashmir,19,92.87,97.61,81.75,76.45,74.95,72.79,Engineering
Indian Institute of Technology Palakkad,Kerala,20,91.68,92.61,79.92,76.0,79.28,73.49,Engineering
National Institute of Technology Karnataka,Karnataka,21,94.34,93.71,85.48,75.55,74.64,75.43,Engineering
Vellore Institute of Technology,Tamil Nadu,22,91.5,89.29,78.96,75.1,79.99,73.43,Engineering
National Institute of Technology Rourkela,Odisha,23,93.11,93.36,79.04,74.65,74.29,75.09,Engineering
Indian Institute of Technology Tirupati,Andhra Pradesh,24,90.58,90.65,83.19,74.2,77.92,73.92,Engineering
Indian Institute of Technology Bhilai,Chhattisgarh,25,89.21,86.25,79.29,73.75,76.24,68.02,Engineering
Indian Institute of Technology Goa,Goa,26,90.85,88.24,77.49,73.3,79.39,75.85,Engineering
Indian Institute of Technology Dharwad,Karnataka,27,91.74,88.69,77.71,72.85,75.2,76.75,Engineering
Indian Institute of Technology Dhanbad,Jharkhand,28,92.31,94.05,83.84,72.4,71.99,67.66,Engineering
Jamia Millia Islamia,Delhi,29,87.15,89.91,81.06,71.95,74.02,68.17,University
Anna University,Tamil Nadu,30,87.91,88.79,76.47,71.5,77.0,74.43,University
Jadavpur University,West Bengal,31,91.57,84.83,81.96,71.05,75.5,73.09,University
Amrita Vishwa Vidyapeetham,Tamil Nadu,32,86.76,89.52,78.69,70.6,73.71,72.91,University
Thapar Institute of Engineering and Technology,Punjab,33,88.11,89.13,83.69,70.15,72.72,71.65,University
National Institute of Technology Warangal,Telangana,34,85.12,91.82,76.72,69.7,76.4,70.32,Engineering
Birla Institute of Technology and Science Pilani,Rajasthan,35,86.78,87.33,83.33,69.25,79.06,66.17,Engineering
Delhi Technological University,Delhi,36,85.48,86.38,82.6,68.8,73.32,71.75,University
Indian Institute of Space Science and Technology,Kerala,37,88.27,88.67,74.03,68.35,76.02,67.83,University
Aligarh Muslim University,Uttar Pradesh,38,86.61,84.2,80.23,67.9,75.04,73.69,University
National Institute of Technology Calicut,Kerala,39,86.36,86.74,74.07,67.45,71.46,69.87,Engineering
International Institute of Information Technology Hyderabad,Telangana,40,87.38,87.93,81.82,67.0,68.7,70.71,University
Manipal Institute of Technology,Karnataka,41,88.37,88.33,73.34,66.55,76.07,72.01,Engineering
Siksha O Anusandhan,Odisha,42,86.94,84.69,80.36,66.1,74.48,64.18,University
SRM Institute of Science and Technology,Tamil Nadu,43,85.86,80.39,71.66,65.65,75.6,68.83,University
Shanmugha Arts Science Technology and Research Academy,Tamil Nadu,44,82.34,82.18,75.2,65.2,76.6,64.3,University
Kalinga Institute of Industrial Technology,Odisha,45,84.69,84.53,78.46,64.75,74.73,67.5,University
PSG College of Technology,Tamil Nadu,46,86.33,79.67,73.24,64.3,72.53,71.46,University
Sri Sivasubramaniya Nadar College of Engineering,Tamil Nadu,47,85.0,86.09,74.85,63.85,67.05,71.51,University
National Institute of Technology Durgapur,West Bengal,48,82.53,84.16,75.02,63.4,72.66,68.08,Engineering
College of Engineering Pune,Maharashtra,49,82.03,83.78,73.48,62.95,71.66,67.84,University
Indian Institute of Engineering Science and Technology Shibpur,West Bengal,50,84.22,85.84,74.73,62.5,74.86,63.37,University
University of Delhi,Delhi,55,82.74,84.46,69.86,60.25,65.94,64.53,University
University of Mumbai,Maharashtra,60,77.95,74.27,66.65,58.0,72.05,66.83,University
University of Calcutta,West Bengal,65,74.53,77.43,68.27,55.75,62.95,66.22,University
Banaras Hindu University,Uttar Pradesh,58,78.55,83.5,69.16,58.9,64.83,67.22,University
Jawaharlal Nehru University,Delhi,62,78.96,80.78,73.28,57.1,64.43,64.57,University
University of Hyderabad,Telangana,68,76.11,79.68,70.32,54.4,66.03,65.72,University
Panjab University,Punjab,72,76.83,69.87,64.63,52.6,59.72,62.0,University
Savitribai Phule Pune University,Maharashtra,75,72.03,70.28,68.02,51.25,64.53,63.33,University
Osmania University,Telangana,78,72.21,76.85,65.61,49.9,65.17,56.88,University
Andhra University,Andhra Pradesh,82,74.29,74.85,61.35,48.1,65.41,56.13,University
Madurai Kamaraj University,Tamil Nadu,88,67.44,71.23,64.17,45.4,60.71,56.98,University
Bharathiar University,Tamil Nadu,90,67.73,70.32,61.84,44.5,57.41,56.76,University
University of Kerala,Kerala,92,68.41,63.56,59.52,43.6,55.97,49.62,University
Gujarat University,Gujarat,95,67.0,70.88,57.34,42.25,55.54,52.5,University
Rajasthan University,Rajasthan,98,68.36,69.21,54.85,40.9,53.76,48.43,University
University of Rajasthan,Rajasthan,99,65.39,66.0,58.93,40.45,60.27,53.43,University
Gauhati University,Assam,105,64.08,68.16,52.89,37.75,53.83,49.56,University
Patna University,Bihar,110,64.08,61.62,57.48,35.5,52.3,46.6,University
University of Lucknow,Uttar Pradesh,112,58.5,64.24,57.71,34.6,46.85,44.41,University
Dr. B. R. Ambedkar University Delhi,Delhi,115,60.96,60.79,54.22,33.25,54.0,42.81,University
Visvesvaraya Technological University,Karnataka,118,61.28,63.08,50.61,31.9,47.05,47.26,University
Dr. A.P.J. Abdul Kalam Technical University,Uttar Pradesh,120,60.12,53.57,49.71,31.0,50.84,47.18,University
Maulana Azad National Institute of Technology Bhopal,Madhya Pradesh,52,82.49,82.54,73.82,61.6,64.59,65.94,Engineering
Malaviya National Institute of Technology Jaipur,Rajasthan,54,79.43,81.29,68.79,60.7,69.71,60.74,Engineering
Motilal Nehru National Institute of Technology Allahabad,Uttar Pradesh,56,81.76,75.57,77.17,59.8,70.59,64.76,Engineering
National Institute of Technology Silchar,Assam,57,81.16,79.73,75.46,59.35,66.45,62.98,Engineering
National Institute of Technology Hamirpur,Himachal Pradesh,59,79.88,82.61,67.58,58.45,66.22,60.34,Engineering
National Institute of Technology Meghalaya,Meghalaya,61,77.9,81.37,72.5,57.55,68.94,62.26,Engineering
National Institute of Technology Nagaland,Nagaland,63,78.31,82.87,67.12,56.65,66.31,59.36,Engineering
National Institute of Technology Patna,Bihar,64,80.26,77.83,65.5,56.2,64.15,65.66,Engineering
National Institute of Technology Raipur,Chhattisgarh,66,79.44,78.83,64.94,55.3,66.61,61.25,Engineering
National Institute of Technology Srinagar,Jammu and Kashmir,67,76.04,72.82,69.03,54.85,63.04,62.22,Engineering
National Institute of Technology Jamshedpur,Jharkhand,69,76.33,76.12,71.91,53.95,66.82,60.45,Engineering
National Institute of Technology Kurukshetra,Haryana,70,74.78,77.74,66.17,53.5,68.83,62.8,Engineering
National Institute of Technology Surathkal,Karnataka,21,94.34,93.71,85.48,75.55,74.64,75.43,Engineering
Indian Institute of Science Bengaluru,Karnataka,1,99.72,104.15,86.13,84.55,89.19,77.84,University
All India Institute of Medical Sciences New Delhi,Delhi,1,99.72,104.15,86.13,84.55,89.19,77.84,University
Post Graduate Institute of Medical Education and Research Chandigarh,Punjab,2,97.87,97.28,92.51,84.1,80.32,80.44,University
Christian Medical College Vellore,Tamil Nadu,3,96.46,96.32,92.07,83.65,84.93,75.1,University
National Law School of India University,Karnataka,1,99.72,104.15,86.13,84.55,89.19,77.84,University
Indian Institute of Management Ahmedabad,Gujarat,1,99.72,104.15,86.13,84.55,89.19,77.84,University
Indian Institute of Management Bangalore,Karnataka,2,97.87,97.28,92.51,84.1,80.32,80.44,University
Indian Institute of Management Calcutta,West Bengal,3,96.46,96.32,92.07,83.65,84.93,75.1,University
Tata Institute of Social Sciences,Maharashtra,80,73.42,67.18,60.17,49.0,62.15,58.46,University
TERI School of Advanced Studies,Delhi,130,54.22,50.28,47.11,26.5,45.4,46.13,University
Symbiosis International University,Maharashtra,85,67.52,69.97,62.85,46.75,59.49,60.0,University
Bharati Vidyapeeth Deemed University,Maharashtra,92,68.41,63.56,59.52,43.6,55.97,49.62,University
Lovely Professional University,Punjab,100,67.01,65.97,56.39,40.0,50.68,56.74,University
Chandigarh University,Punjab,105,64.08,68.16,52.89,37.75,53.83,49.56,University
Graphic Era University,Uttarakhand,125,58.36,56.19,49.53,28.75,44.61,41.01,University
Shiv Nadar University,Uttar Pradesh,88,67.44,71.23,64.17,45.4,60.71,56.98,University
Ashoka University,Haryana,95,67.0,70.88,57.34,42.25,55.54,52.5,University
O.P. Jindal Global University,Haryana,90,67.73,70.32,61.84,44.5,57.41,56.76,University
Azim Premji University,Karnataka,110,64.08,61.62,57.48,35.5,52.3,46.6,University
FLAME University,Maharashtra,115,60.96,60.79,54.22,33.25,54.0,42.81,University
Christ University,Karnataka,98,68.36,69.21,54.85,40.9,53.76,48.43,University
Presidency University Bengaluru,Karnataka,120,60.12,53.57,49.71,31.0,50.84,47.18,University
REVA University,Karnataka,128,56.16,54.92,49.02,27.4,45.96,39.96,University
PES University,Karnataka,75,72.03,70.28,68.02,51.25,64.53,63.33,University
RV College of Engineering,Karnataka,78,72.21,76.85,65.61,49.9,65.17,56.88,University
BMS College of Engineering,Karnataka,82,74.29,74.85,61.35,48.1,65.41,56.13,University
MS Ramaiah Institute of Technology,Karnataka,85,67.52,69.97,62.85,46.75,59.49,60.0,Engineering
Dayananda Sagar College of Engineering,Karnataka,88,67.44,71.23,64.17,45.4,60.71,56.98,University
Sir M. Visvesvaraya Institute of Technology,Karnataka,92,68.41,63.56,59.52,43.6,55.97,49.62,Engineering
Coimbatore Institute of Technology,Tamil Nadu,95,67.0,70.88,57.34,42.25,55.54,52.5,Engineering
Kumaraguru College of Technology,Tamil Nadu,98,68.36,69.21,54.85,40.9,53.76,48.43,University
Thiagarajar College of Engineering,Tamil Nadu,102,62.26,65.16,61.11,39.1,52.63,53.29,University
Government College of Technology Coimbatore,Tamil Nadu,105,64.08,68.16,52.89,37.75,53.83,49.56,University
Mepco Schlenk Engineering College,Tamil Nadu,108,64.34,63.52,52.16,36.4,51.38,47.16,University
National Institute of Fashion Technology,Delhi,1,99.72,104.15,86.13,84.55,89.19,77.84,University
Indian Statistical Institute Kolkata,West Bengal,45,84.69,84.53,78.46,64.75,74.73,67.5,University
Indian Institute of Foreign Trade,Delhi,40,87.38,87.93,81.82,67.0,68.7,70.71,University
Indian Institute of Mass Communication,Delhi,50,84.22,85.84,74.73,62.5,74.86,63.37,University
University of Madras,Tamil Nadu,124,58.31,59.46,55.63,29.2,50.59,46.84,University
Bangalore University,Karnataka,125,58.36,56.19,49.53,28.75,44.61,41.01,University
University of Mysore,Karnataka,126,52.94,60.32,45.97,28.3,52.31,40.95,University
Gulbarga University,Karnataka,127,52.92,52.65,47.99,27.85,51.32,42.61,University
University of Burdwan,West Bengal,128,56.16,54.92,49.02,27.4,45.96,39.96,University
North Bengal University,West Bengal,129,54.16,52.19,53.35,26.95,50.55,46.64,University
Ranchi University,Jharkhand,130,54.22,50.28,47.11,26.5,45.4,46.13,University
Vinoba Bhave University,Jharkhand,131,55.03,55.16,49.06,26.05,42.52,39.14,University
Utkal University,Odisha,132,51.66,56.85,50.87,25.6,49.55,46.4,University
Sambalpur University,Odisha,133,56.3,53.57,46.71,25.15,46.19,43.74,University
Berhampur University,Odisha,134,55.91,53.14,48.23,24.7,47.94,40.51,University
Guru Ghasidas Vishwavidyalaya,Chhattisgarh,135,53.04,50.56,51.48,24.25,49.71,39.43,University
Pt. Ravishankar Shukla University,Chhattisgarh,136,50.16,48.1,43.32,23.8,43.26,45.28,University
Devi Ahilya Vishwavidyalaya,Madhya Pradesh,137,54.2,49.8,46.11,23.35,45.5,41.31,University
Jiwaji University,Madhya Pradesh,138,52.14,54.55,47.13,22.9,48.33,45.0,University
Rani Durgavati Vishwavidyalaya,Madhya Pradesh,139,50.85,52.13,42.63,22.45,39.39,45.58,University
Dr. Harisingh Gour Vishwavidyalaya,Madhya Pradesh,140,52.01,52.21,47.97,22.0,40.58,41.85,University
Mahatma Gandhi University Kottayam,Kerala,141,52.07,55.62,40.6,21.55,39.86,40.92,University
Calicut University,Kerala,142,47.43,46.37,46.75,21.1,47.36,42.94,University
Kannur University,Kerala,143,49.43,54.72,45.01,20.65,44.0,42.04,University
Sree Sankaracharya University of Sanskrit,Kerala,144,51.36,45.2,42.64,20.2,38.08,37.64,University
Maharaja Ganga Singh University,Rajasthan,145,49.85,46.94,48.03,19.75,38.96,43.21,University
Mohanlal Sukhadia University,Rajasthan,146,50.7,47.69,43.26,19.3,39.96,43.16,University
Jai Narain Vyas University,Rajasthan,147,51.49,51.37,45.03,18.85,41.77,41.59,University
Veer Surendra Sai University of Technology,Odisha,148,49.02,48.7,45.77,18.4,42.67,37.42,University
Indira Gandhi National Open University,Delhi,149,45.34,45.46,40.28,17.95,43.06,37.85,University
English and Foreign Languages University,Telangana,150,44.53,51.81,45.6,17.5,38.72,39.86,University
Central University of Punjab,Punjab,151,47.1,45.75,44.53,17.05,41.97,37.44,University
Central University of Gujarat,Gujarat,152,45.11,44.41,37.61,16.6,40.17,37.86,University
Central University of Kashmir,Jammu and Kashmir,153,49.06,46.89,37.91,16.15,43.05,35.98,University
Central University of Himachal Pradesh,Himachal Pradesh,154,46.6,47.69,38.53,15.7,36.18,40.95,University
Central University of Haryana,Haryana,155,44.62,49.06,39.79,15.25,40.32,34.07,University
Central University of Jharkhand,Jharkhand,156,43.23,40.44,36.83,14.8,34.32,33.88,University
Central University of Karnataka,Karnataka,157,43.63,48.67,39.48,14.35,35.25,34.35,University
Central University of Kerala,Kerala,158,47.51,47.49,41.18,13.9,38.94,38.19,University
Central University of Tamil Nadu,Tamil Nadu,159,46.21,45.11,38.52,13.45,35.59,40.38,University
Central University of Rajasthan,Rajasthan,160,44.33,44.9,38.16,13.0,38.83,36.53,University
Central University of South Bihar,Bihar,161,43.46,45.88,36.66,12.55,34.71,35.8,University
Central University of Jammu,Jammu and Kashmir,162,40.73,40.63,40.42,12.1,39.94,29.68,University
