University Name,State/UT,Type,Year of Establishment
National Institute of Technology Patna,Bihar,State University,2014
National Institute of Technology Raipur,Chhattisgarh,State University,2016
National Institute of Technology Srinagar,Jammu and Kashmir,State University,2017
National Institute of Technology Jamshedpur,Jharkhand,State University,2019
National Institute of Technology Kurukshetra,Haryana,State University,1950
National Institute of Technology Surathkal,Karnataka,State University,1971
Indian Institute of Science Bengaluru,Karnataka,Central University,1951
All India Institute of Medical Sciences New Delhi,Delhi,State University,1951
Post Graduate Institute of Medical Education and Research Chandigarh,Punjab,State University,1952
Christian Medical College Vellore,Tamil Nadu,State University,1953
National Law School of India University,Karnataka,State University,1951
Indian Institute of Management Ahmedabad,Gujarat,Central University,1951
Indian Institute of Management Bangalore,Karnataka,Central University,1952
Indian Institute of Management Calcutta,West Bengal,Central University,1953
Tata Institute of Social Sciences,Maharashtra,State University,1960
TERI School of Advanced Studies,Delhi,State University,2010
Symbiosis International University,Maharashtra,State University,1965
Bharati Vidyapeeth Deemed University,Maharashtra,State University,1972
Lovely Professional University,Punjab,State University,1980
Chandigarh University,Punjab,State University,1985
Graphic Era University,Uttarakhand,State University,2005
Shiv Nadar University,Uttar Pradesh,State University,1968
Ashoka University,Haryana,State University,1975
O.P. Jindal Global University,Haryana,State University,1970
Azim Premji University,Karnataka,State University,1990
FLAME University,Maharashtra,State University,1995
Christ University,Karnataka,State University,1978
Presidency University Bengaluru,Karnataka,State University,2000
REVA University,Karnataka,State University,2008
PES University,Karnataka,State University,1955
RV College of Engineering,Karnataka,State University,1958
BMS College of Engineering,Karnataka,State University,1962
MS Ramaiah Institute of Technology,Karnataka,State University,1965
Dayananda Sagar College of Engineering,Karnataka,State University,1968
Sir M. Visvesvaraya Institute of Technology,Karnataka,State University,1972
Coimbatore Institute of Technology,Tamil Nadu,State University,1975
Kumaraguru College of Technology,Tamil Nadu,State University,1978
Thiagarajar College of Engineering,Tamil Nadu,State University,1982
Government College of Technology Coimbatore,Tamil Nadu,State University,1985
Mepco Schlenk Engineering College,Tamil Nadu,State University,1988
National Institute of Fashion Technology,Delhi,State University,1951
Indian Statistical Institute Kolkata,West Bengal,State University,1995
Indian Institute of Foreign Trade,Delhi,Central University,1990
Indian Institute of Mass Communication,Delhi,Central University,2000
University of Madras,Tamil Nadu,State University,2004
Bangalore University,Karnataka,State University,2005
University of Mysore,Karnataka,State University,2006
Gulbarga University,Karnataka,State University,2007
University of Burdwan,West Bengal,State University,2008
North Bengal University,West Bengal,State University,2009
Ranchi University,Jharkhand,State University,2010
Vinoba Bhave University,Jharkhand,State University,2011
Utkal University,Odisha,State University,2012
Sambalpur University,Odisha,State University,2013
Berhampur University,Odisha,State University,2014
Guru Ghasidas Vishwavidyalaya,Chhattisgarh,State University,2015
Pt. Ravishankar Shukla University,Chhattisgarh,State University,2016
Devi Ahilya Vishwavidyalaya,Madhya Pradesh,State University,2017
Jiwaji University,Madhya Pradesh,State University,2018
Rani Durgavati Vishwavidyalaya,Madhya Pradesh,State University,2019
Dr. Harisingh Gour Vishwavidyalaya,Madhya Pradesh,State University,1950
Mahatma Gandhi University Kottayam,Kerala,State University,1951
Calicut University,Kerala,State University,1952
Kannur University,Kerala,State University,1953
Sree Sankaracharya University of Sanskrit,Kerala,State University,1954
Maharaja Ganga Singh University,Rajasthan,State University,1955
Mohanlal Sukhadia University,Rajasthan,State University,1956
Jai Narain Vyas University,Rajasthan,State University,1957
Veer Surendra Sai University of Technology,Odisha,State University,1958
Indira Gandhi National Open University,Delhi,State University,1959
English and Foreign Languages University,Telangana,State University,1960
Central University of Punjab,Punjab,Central University,1961
Central University of Gujarat,Gujarat,Central University,1962
Central University of Kashmir,Jammu and Kashmir,Central University,1963
Central University of Himachal Pradesh,Himachal Pradesh,Central University,1964
Central University of Haryana,Haryana,Central University,1965
Central University of Jharkhand,Jharkhand,Central University,1966
Central University of Karnataka,Karnataka,Central University,1967
Central University of Kerala,Kerala,Central University,1968
Central University of Tamil Nadu,Tamil Nadu,Central University,1969
Central University of Rajasthan,Rajasthan,Central University,1970
Central University of South Bihar,Bihar,Central University,1971
Central University of Jammu,Jammu and Kashmir,Central University,1972
