institution_name,student_enrollment,faculty_count,placement_percentage,research_publications,infrastructure_score,accreditation_grade,nirf_rank,state
Premier West Institute of Management 44,24705,1382,30.0,110,20.0,B+,892,West Bengal
Global Andhra Institute of Management 991,11516,594,30.0,225,34.5,B++,842,Gujarat
Urban Uttar Business School 529,7596,421,30.0,322,20.0,B++,645,Madhya Pradesh
Metropolitan Gujarat Medical College 800,22365,1087,30.0,234,24.5,A+,762,Gujarat
National Andhra Institute of Management 400,18786,978,58.6,638,62.0,A,321,Maharashtra
State Karnataka Institute of Technology 454,18865,1166,43.0,422,51.6,B+,532,Telangana
Central Karnataka University 851,7304,442,34.6,269,36.3,B++,694,Delhi
Regional Kerala Institute of Technology 725,24799,1465,46.2,394,56.7,B+,606,Gujarat
Regional Tamil Institute of Technology 587,11595,876,30.0,78,20.0,C,937,West Bengal
Metropolitan Haryana College of Engineering 539,13519,954,45.7,410,55.4,A,542,Punjab
Regional Rajasthan Business School 121,18898,883,53.5,413,57.7,A++,581,Uttar Pradesh
State Delhi Institute of Management 599,16669,977,30.0,129,20.0,A++,884,Gujarat
Regional Madhya College of Engineering 78,4721,319,31.7,276,34.3,A+,738,Karnataka
Premier West Polytechnic 734,7910,409,68.4,531,70.5,B+,500,Gujarat
Regional Madhya Institute of Management 476,9349,428,36.9,293,28.3,C,702,Telangana
State Rajasthan Medical College 669,23714,1500,30.0,178,20.0,C,871,Kerala
Regional Maharashtra Medical College 299,18005,791,31.4,399,51.6,B+,646,Uttar Pradesh
Urban Rajasthan Polytechnic 145,9475,393,33.8,292,20.0,B++,681,Maharashtra
Global Tamil College of Engineering 295,18500,935,30.0,173,20.0,A,861,Telangana
Metropolitan Haryana University 419,18593,898,65.5,507,56.4,B++,482,Kerala
Central Tamil Institute of Management 685,10158,800,30.0,109,20.0,A,928,Karnataka
Regional Haryana College of Engineering 836,10376,427,45.5,473,46.4,C,492,West Bengal
Metropolitan Rajasthan Institute of Technology 594,22410,1310,30.0,262,20.0,B++,765,Karnataka
National Maharashtra Arts and Science College 207,14264,594,30.0,155,20.0,A,840,Rajasthan
Central Kerala Institute of Management 784,4163,213,30.0,221,28.9,A,874,Kerala
Rural Uttar Arts and Science College 970,18134,1500,37.7,318,57.5,A+,696,Punjab
Indian Madhya Business School 700,14944,1195,30.0,380,26.9,NA,575,Punjab
State Andhra Institute of Management 603,12968,622,35.6,398,46.3,A+,611,Haryana
Rural Madhya University 32,18265,945,36.1,246,20.0,A++,814,Delhi
National Uttar University 310,22723,1500,34.7,213,30.3,A,843,Madhya Pradesh
State Andhra Arts and Science College 489,8595,396,30.0,277,20.0,C,714,Gujarat
State Rajasthan Institute of Management 227,10772,466,30.0,101,20.0,B+,975,Gujarat
Central Punjab Medical College 418,5142,278,37.2,334,31.0,B+,636,Haryana
Central Uttar Arts and Science College 167,16353,905,30.0,147,20.0,B++,865,Uttar Pradesh
Premier Kerala Institute of Technology 671,10366,858,30.0,162,20.0,A+,827,Karnataka
Metropolitan Rajasthan Arts and Science College 372,8887,399,53.6,506,62.2,C,525,Punjab
Regional West Institute of Technology 365,17564,1077,33.7,220,21.2,A,829,Kerala
Rural Uttar Institute of Technology 506,10499,448,30.0,254,20.0,A++,777,Telangana
Metropolitan Karnataka Polytechnic 990,11877,704,30.0,162,21.4,B+,888,Tamil Nadu
Indian Maharashtra Institute of Technology 481,11281,583,30.0,174,20.0,A+,833,Kerala
Global Haryana College of Engineering 947,6834,440,30.0,275,40.0,A+,701,Tamil Nadu
Urban Haryana University 179,3582,254,30.0,229,20.0,C,823,Telangana
Premier West Institute of Management 768,20767,940,30.0,171,20.0,B++,904,West Bengal
Global Gujarat Arts and Science College 549,2747,148,45.0,356,38.0,A,608,Haryana
National Gujarat Arts and Science College 661,8459,445,45.1,403,58.4,A,545,Andhra Pradesh
Regional Haryana Institute of Technology 415,16853,686,30.0,130,20.0,B,910,Tamil Nadu
Premier Karnataka University 365,3716,151,30.0,200,20.0,A+,779,Karnataka
Premier Andhra Polytechnic 208,16560,716,62.9,561,55.9,A+,440,Telangana
Indian Bihar College of Engineering 30,18460,1278,30.0,241,41.7,B+,826,Andhra Pradesh
Premier Bihar Institute of Technology 235,16741,848,30.0,115,20.0,B+,912,Tamil Nadu
Regional Madhya Medical College 707,7973,340,30.0,175,20.0,NA,839,West Bengal
Central Karnataka Business School 983,984,58,31.5,359,43.9,B++,692,Rajasthan
Regional Uttar Institute of Management 627,22240,1500,30.0,82,20.0,A+,949,Uttar Pradesh
Rural Gujarat College of Engineering 896,8500,377,53.1,477,66.7,B+,488,Kerala
Metropolitan Madhya College of Engineering 579,20222,1107,49.7,421,52.7,B+,539,Uttar Pradesh
Global Delhi Arts and Science College 796,5346,276,45.1,381,52.0,A+,646,West Bengal
Central Andhra Institute of Technology 514,4479,180,30.0,187,21.7,B+,897,Madhya Pradesh
Central Rajasthan Medical College 173,19564,983,30.0,266,25.8,A,710,Gujarat
Premier Telangana University 896,23523,1342,34.9,344,26.2,C,698,Maharashtra
Regional Haryana Arts and Science College 135,21585,1284,30.0,188,20.0,C,801,Bihar
National West College of Engineering 917,18905,1084,51.4,502,47.5,B++,448,Uttar Pradesh
Rural West University 695,6543,483,30.0,248,29.2,NA,769,Haryana
Urban Bihar Institute of Management 288,22873,1024,34.6,319,41.2,NA,694,Haryana
Global Bihar Medical College 37,16862,736,37.2,252,39.5,A+,812,West Bengal
State Madhya Institute of Management 267,4718,300,30.0,176,20.0,B++,882,Karnataka
Indian Bihar College of Engineering 426,3669,230,61.0,470,62.6,B+,483,Andhra Pradesh
Premier Maharashtra Institute of Management 601,21843,934,41.4,309,28.6,A+,724,Punjab
Urban Andhra Polytechnic 800,7241,588,30.0,163,20.0,B++,913,Rajasthan
Metropolitan Telangana Arts and Science College 111,19264,1026,30.4,309,36.9,A,726,Madhya Pradesh
Global Rajasthan Business School 821,3897,216,68.7,629,67.5,NA,329,Haryana
Indian Madhya Business School 120,7373,351,30.0,171,20.0,B++,822,Haryana
Metropolitan Punjab Arts and Science College 785,7446,527,40.9,315,23.5,B,688,Tamil Nadu
Rural Rajasthan Institute of Technology 826,7387,357,30.0,251,20.0,B++,756,Kerala
National Rajasthan Institute of Technology 901,17031,1007,44.6,378,49.0,A+,600,Uttar Pradesh
Indian Haryana Business School 803,22902,1142,30.4,371,48.3,C,604,Karnataka
Metropolitan Punjab Institute of Management 639,22803,1500,30.0,241,20.0,A++,759,Gujarat
Urban Madhya Arts and Science College 637,18667,1036,36.6,215,26.1,A+,827,Karnataka
National Kerala Institute of Technology 998,5461,290,30.0,273,22.7,B++,792,Karnataka
National Delhi University 115,24034,1500,72.3,671,78.7,B,302,Punjab
National Karnataka Institute of Technology 830,13780,997,30.0,90,20.1,A,939,West Bengal
State Madhya Medical College 393,13876,960,49.9,429,55.7,A+,614,Gujarat
Indian Gujarat College of Engineering 663,17684,1073,30.0,148,20.0,A,912,Tamil Nadu
State Delhi Arts and Science College 636,19342,1458,30.0,250,44.6,A,791,Haryana
National Karnataka Medical College 738,23846,980,30.0,187,20.0,A++,845,Kerala
Global Madhya Arts and Science College 989,14768,855,46.8,431,38.3,B+,592,Telangana
National Bihar Polytechnic 64,15446,685,30.0,274,21.0,A+,746,Tamil Nadu
Premier Maharashtra Institute of Management 116,18765,760,55.9,497,54.0,A,502,Karnataka
Urban Telangana Medical College 885,6750,517,35.5,315,20.0,B+,713,Karnataka
Global Punjab College of Engineering 630,8038,392,41.7,265,24.9,B,782,Maharashtra
Regional Uttar Polytechnic 23,15824,678,30.0,151,20.0,A,940,Andhra Pradesh
State Telangana Medical College 553,2071,102,33.7,480,60.2,A,507,Gujarat
State Rajasthan University 855,8352,475,30.0,168,20.0,A,889,Kerala
Rural Uttar Institute of Technology 418,18090,1027,57.1,327,29.2,NA,636,Andhra Pradesh
Premier Rajasthan Polytechnic 408,24415,1500,69.7,547,68.7,A,437,Andhra Pradesh
Metropolitan Madhya Business School 620,13227,698,47.7,482,61.4,A,551,Uttar Pradesh
Rural Andhra College of Engineering 935,10292,413,41.3,337,28.9,B++,684,West Bengal
Global Punjab University 200,11289,461,30.0,251,22.1,A,732,Rajasthan
Global Telangana Polytechnic 801,17292,1380,30.0,232,20.0,A,809,Maharashtra
Regional Haryana College of Engineering 408,13839,653,30.0,59,20.0,A+,967,Haryana
Urban Maharashtra Arts and Science College 433,1069,67,30.0,255,20.5,B+,741,Telangana
Global Andhra Business School 377,13711,577,30.0,257,27.6,B+,730,Gujarat
Metropolitan Rajasthan College of Engineering 535,10301,818,34.0,394,33.7,B,623,Telangana
Regional Kerala Institute of Management 319,17669,731,30.0,151,20.0,B,862,Haryana
Premier Uttar University 684,21940,958,34.9,345,25.9,A,650,Maharashtra
Metropolitan Andhra University 957,24079,1500,31.0,262,29.6,NA,792,Kerala
State Karnataka University 574,15450,1209,30.0,225,27.2,B,818,Madhya Pradesh
Indian Kerala College of Engineering 145,9382,410,30.0,241,26.4,C,789,Punjab
Premier Uttar University 161,11376,811,30.0,221,23.0,B,840,Kerala
Metropolitan Tamil Medical College 704,4823,254,30.8,189,20.0,B++,792,Karnataka
Premier Punjab Polytechnic 873,23430,980,30.0,344,30.9,A,710,Haryana
National Kerala Arts and Science College 439,21259,1097,32.8,377,37.4,B++,611,Haryana
Urban West Institute of Technology 594,21422,1248,30.0,129,20.0,A+,938,West Bengal
Rural Kerala Polytechnic 317,8539,480,36.3,229,23.8,B++,836,Telangana
Premier Punjab Institute of Technology 166,8394,654,30.0,94,20.9,A++,949,Kerala
Central Uttar Institute of Technology 852,21487,873,43.4,352,47.0,A++,660,Karnataka
Regional Kerala College of Engineering 515,13841,862,35.6,330,25.6,NA,704,Delhi
State Andhra Arts and Science College 569,17764,1228,45.2,476,60.2,B,492,Haryana
Global Punjab Arts and Science College 901,12500,795,70.8,652,81.1,B+,294,Andhra Pradesh
Central Madhya University 776,11347,462,31.0,369,32.6,A,617,Uttar Pradesh
Rural Rajasthan College of Engineering 661,15988,1208,31.5,392,50.2,B+,621,Rajasthan
Urban Andhra Institute of Management 760,20418,877,42.1,364,37.3,C,674,Bihar
Indian Kerala Institute of Management 985,8685,409,30.0,203,20.0,B,801,Tamil Nadu
Premier Telangana Polytechnic 580,20324,891,56.5,480,58.5,B+,520,Delhi
Metropolitan Karnataka Institute of Management 729,6483,262,39.6,447,52.2,B++,499,Maharashtra
Urban Delhi Business School 892,10369,451,30.0,224,20.0,A,752,Delhi
Regional Haryana Institute of Management 610,22860,942,30.0,270,27.5,B,795,Kerala
Metropolitan Karnataka Business School 983,23884,1500,44.8,315,26.4,NA,732,Gujarat
Global Delhi Arts and Science College 716,23134,1035,41.8,357,45.3,B++,683,Andhra Pradesh
Metropolitan West College of Engineering 314,8243,431,67.7,523,57.4,B++,461,Bihar
Indian Andhra Polytechnic 935,21161,1109,63.3,597,71.0,B++,377,Bihar
National Gujarat Polytechnic 565,23434,989,30.0,127,20.0,B++,932,Punjab
Metropolitan Andhra Medical College 768,24466,993,30.0,243,20.0,NA,746,Punjab
Central Rajasthan Arts and Science College 311,1012,47,30.0,194,20.0,B,863,West Bengal
Central Gujarat University 530,18752,1025,30.0,154,20.0,B++,903,Andhra Pradesh
Premier Karnataka Institute of Technology 90,24920,1389,30.0,71,20.0,B++,961,Karnataka
Metropolitan Bihar University 501,19234,1129,30.0,75,20.0,B++,959,Punjab
National Karnataka College of Engineering 709,6212,371,30.0,148,20.0,A++,867,Tamil Nadu
Rural Delhi University 38,19183,1122,30.0,82,20.0,B+,999,Gujarat
Metropolitan Rajasthan University 835,3078,233,30.0,168,20.2,C,919,Delhi
State Telangana Medical College 629,12274,943,49.1,386,32.0,B,652,Kerala
Global West Arts and Science College 185,15842,715,30.0,163,20.0,A,902,Haryana
Regional Gujarat University 367,11683,656,30.0,114,25.5,B,904,Karnataka
Central West Arts and Science College 348,17645,732,52.4,349,55.2,B,685,Kerala
Urban Rajasthan Institute of Technology 590,6385,319,38.1,397,53.1,A,585,Delhi
National Karnataka Business School 887,15352,1232,46.9,394,47.7,B+,640,Karnataka
National Karnataka Business School 10,16298,1160,44.3,364,29.1,B+,623,Rajasthan
National Rajasthan Institute of Management 259,16028,1092,71.2,577,73.1,C,396,Telangana
Rural Uttar Institute of Management 442,7588,307,30.0,135,20.0,A+,864,Delhi
Metropolitan Rajasthan Arts and Science College 295,7981,537,30.0,218,25.1,A,782,Gujarat
Urban Gujarat Medical College 228,6816,364,30.0,383,35.4,B++,613,Andhra Pradesh
Rural Delhi College of Engineering 951,11813,488,61.3,383,40.0,A++,629,Gujarat
Central Madhya University 803,14856,601,30.0,66,20.0,B++,926,Andhra Pradesh
Regional Madhya Business School 480,9382,622,42.2,456,53.1,B,578,Madhya Pradesh
National Tamil Business School 595,10544,834,30.0,245,28.8,A+,745,Gujarat
Rural West University 521,7517,537,32.5,403,38.7,B++,648,Telangana
National Delhi Institute of Technology 883,5861,457,42.0,298,20.0,NA,696,Punjab
Central Bihar College of Engineering 95,16607,1142,63.7,391,60.6,B+,588,Rajasthan
Metropolitan Tamil Arts and Science College 318,20493,1056,30.0,158,39.9,B++,829,Rajasthan
Metropolitan Bihar Polytechnic 867,7622,319,30.0,292,34.4,B+,762,Uttar Pradesh
Central Punjab University 475,21583,1136,30.0,374,26.2,A,667,Tamil Nadu
Metropolitan Bihar Arts and Science College 798,14488,719,30.0,185,20.0,A+,810,Maharashtra
State Kerala Polytechnic 187,4608,315,30.0,278,33.2,B,707,Gujarat
Global Haryana University 144,9466,422,31.9,364,50.5,B++,675,Haryana
Premier Kerala Arts and Science College 479,683,34,30.0,141,20.0,A,925,Delhi
State Uttar Medical College 954,1459,62,30.0,190,20.0,A++,802,Tamil Nadu
Central Maharashtra Arts and Science College 83,8735,358,43.6,384,43.0,C,602,Uttar Pradesh
Indian Uttar Polytechnic 489,11634,704,30.0,302,41.0,A++,712,Telangana
Central Rajasthan Polytechnic 144,20039,1500,30.0,89,20.0,B,914,Delhi
Indian Madhya Business School 503,3790,253,30.8,258,20.0,B++,750,Delhi
Metropolitan Madhya College of Engineering 371,21059,1190,30.0,128,20.0,B+,864,Karnataka
Metropolitan Haryana College of Engineering 897,6245,257,42.2,332,46.3,A,683,Uttar Pradesh
Rural Gujarat Institute of Technology 110,3889,229,30.0,86,20.0,A,984,Delhi
National Bihar College of Engineering 607,17647,801,30.0,269,29.7,B+,759,Madhya Pradesh
State West Institute of Management 568,19471,1023,30.0,174,20.0,B,834,Bihar
Indian Rajasthan Business School 482,15320,1065,30.0,141,20.0,A,890,Gujarat
Regional Haryana Arts and Science College 195,3334,206,30.0,265,37.8,B++,752,Karnataka
Global Haryana Medical College 3,3325,162,31.7,259,29.6,B++,734,Karnataka
State Madhya Institute of Management 531,10056,484,30.0,110,20.0,A,890,Uttar Pradesh
Central Tamil Institute of Management 226,11539,653,46.2,347,52.5,B+,631,Rajasthan
Rural Rajasthan Polytechnic 347,24965,1500,31.4,286,20.0,A+,794,West Bengal
State Kerala Arts and Science College 642,7518,351,30.0,198,20.0,B+,850,Uttar Pradesh
Urban Punjab University 85,5218,367,56.7,431,48.7,A+,537,Gujarat
Central Maharashtra Polytechnic 685,23674,979,30.0,234,20.0,B++,781,Uttar Pradesh
Rural Rajasthan Medical College 406,4272,295,45.8,403,53.1,A,583,West Bengal
Urban Bihar College of Engineering 843,1146,85,30.0,168,20.0,B++,832,Punjab
State Maharashtra Institute of Technology 204,10858,587,30.0,100,20.0,B++,975,Maharashtra
National Delhi Business School 652,10326,550,30.0,258,27.2,NA,805,West Bengal
Central Madhya Institute of Technology 845,15681,842,30.0,257,27.3,B++,743,Kerala
Premier Maharashtra Arts and Science College 895,22004,1244,30.0,178,24.7,C,812,Punjab
Central Andhra Arts and Science College 794,23356,936,30.0,172,20.0,A,844,Telangana
State Bihar University 479,7596,414,35.8,329,40.8,B++,682,West Bengal
National Tamil Institute of Technology 52,24530,1346,30.0,207,20.9,A+,870,Punjab
Metropolitan Maharashtra College of Engineering 742,16000,915,30.0,281,26.7,B++,725,Gujarat
State Madhya University 450,2206,171,34.6,324,27.8,B,662,Telangana
Urban Kerala Medical College 877,23491,1191,30.0,290,31.7,C,714,Uttar Pradesh
Urban Bihar Medical College 886,3880,259,75.2,704,77.7,B+,220,Rajasthan
Urban Tamil Medical College 151,14920,735,37.8,190,35.7,B+,782,Karnataka
Regional Andhra Polytechnic 653,19873,1500,30.0,133,24.6,A,891,Gujarat
Central Uttar Business School 586,6611,267,30.0,287,35.6,A++,747,Tamil Nadu
Global West Institute of Management 248,7130,393,31.0,290,34.6,B,674,Delhi
Indian Uttar Institute of Technology 112,12166,514,30.0,132,20.0,A,879,Rajasthan
Regional Maharashtra Polytechnic 750,22178,1219,30.0,292,20.0,A+,768,West Bengal
Rural Uttar University 848,5978,467,37.5,291,27.5,NA,781,Andhra Pradesh
Global Maharashtra College of Engineering 140,16754,738,30.0,283,30.6,NA,748,Maharashtra
Rural West Arts and Science College 652,11588,567,30.0,298,33.1,B+,724,Bihar
Premier Tamil Institute of Technology 916,3240,146,30.0,105,20.0,B++,942,Uttar Pradesh
Premier Delhi University 906,17916,1019,30.0,177,24.2,C,852,Punjab
National Rajasthan Arts and Science College 155,20896,1029,42.1,357,31.1,A,628,Punjab
Metropolitan Tamil Institute of Technology 175,14603,631,30.0,102,20.0,B++,921,Andhra Pradesh
Premier Tamil University 824,4820,238,62.2,557,78.6,B++,442,Karnataka
National Tamil Institute of Management 245,4315,261,30.0,204,27.0,NA,842,Andhra Pradesh
Urban Uttar Polytechnic 514,10875,527,30.0,136,20.0,NA,919,Maharashtra
Premier Uttar Arts and Science College 875,12907,622,32.8,386,40.1,B,639,Bihar
Metropolitan Maharashtra Polytechnic 95,14028,572,38.9,395,42.8,A+,561,Kerala
Global Bihar Institute of Technology 17,6469,384,30.0,237,22.6,B++,811,West Bengal
National Tamil Polytechnic 231,12768,728,30.0,191,22.3,A,879,Gujarat
Regional Uttar Institute of Technology 138,7729,342,30.0,222,48.2,C,808,Karnataka
Rural Telangana Business School 674,17310,931,30.0,157,20.0,A+,879,Madhya Pradesh
Central Tamil Institute of Management 381,20013,927,73.4,527,66.4,A+,434,Punjab
National Gujarat University 377,16490,917,44.2,460,32.7,B,583,Andhra Pradesh
Metropolitan Andhra Polytechnic 433,530,35,44.7,395,37.4,B++,614,Punjab
Urban Haryana Institute of Technology 346,24805,1143,44.3,382,54.1,C,599,Andhra Pradesh
Metropolitan Haryana Institute of Management 272,1082,78,30.0,232,27.9,A+,783,Bihar
Global Telangana Business School 301,24985,1500,30.0,96,20.0,C,920,Rajasthan
Urban Madhya University 919,1278,63,30.0,117,20.0,A++,962,Punjab
Premier Rajasthan Arts and Science College 807,13153,605,34.9,308,51.5,A++,729,Delhi
Urban Rajasthan University 124,3096,131,30.0,126,20.0,B++,890,Haryana
Metropolitan Punjab Institute of Management 894,2832,182,30.0,283,44.0,A,769,Kerala
State West Business School 467,17243,1283,30.0,135,20.0,B+,852,Rajasthan
Central Telangana Arts and Science College 997,18332,750,30.0,268,37.7,A++,733,Kerala
Urban Madhya University 8,3396,242,30.0,219,20.5,A++,829,Uttar Pradesh
Indian West Institute of Management 625,24428,1500,30.0,160,20.0,B,819,Kerala
Indian Telangana Polytechnic 371,8351,528,32.0,262,32.9,A,763,West Bengal
Global Punjab Institute of Technology 800,8298,439,62.9,483,64.8,B,550,Uttar Pradesh
National Haryana Institute of Management 190,7775,331,45.3,476,56.3,B,535,Andhra Pradesh
Rural Andhra University 614,11799,539,30.0,135,20.0,A+,878,Maharashtra
Global Punjab Polytechnic 848,4856,228,30.0,237,20.0,B,818,Haryana
Indian Madhya Medical College 106,10907,763,30.0,284,20.0,A,712,Delhi
National Andhra Business School 241,5644,338,37.4,387,49.8,B++,637,Delhi
State Haryana Institute of Management 677,1759,96,30.0,158,30.5,A+,895,Tamil Nadu
National Maharashtra College of Engineering 953,9534,685,45.5,449,62.3,C,500,Karnataka
Metropolitan Tamil University 99,16970,1090,30.0,150,20.0,B+,838,Karnataka
Regional Andhra College of Engineering 88,19195,1199,30.0,278,20.0,B+,689,Madhya Pradesh
Indian Rajasthan Arts and Science College 593,9156,670,30.2,334,26.9,NA,638,Bihar
Premier Madhya Medical College 317,8431,440,30.0,163,20.0,A,836,Telangana
Metropolitan Bihar Institute of Technology 697,19792,935,30.0,281,28.3,C,701,Maharashtra
Regional Karnataka Medical College 312,17189,1331,30.0,193,22.2,B,878,Madhya Pradesh
Metropolitan Uttar Institute of Technology 41,20886,1144,40.2,346,23.7,NA,699,Kerala
Metropolitan Punjab Medical College 461,22699,1023,32.9,163,22.8,NA,832,West Bengal
State Karnataka Business School 994,20620,949,30.0,86,20.0,NA,931,Andhra Pradesh
Indian Maharashtra Medical College 202,23443,1037,40.5,389,37.4,A+,637,Rajasthan
Rural Tamil Institute of Management 832,10708,600,30.0,155,20.0,B,885,Gujarat
State Kerala Medical College 316,10169,448,30.0,187,20.0,C,863,Haryana
Indian Tamil College of Engineering 490,8377,553,30.0,279,25.7,B+,786,West Bengal
State Uttar Institute of Technology 453,6262,375,38.9,280,29.6,A,745,Punjab
State West College of Engineering 173,18846,1318,30.0,196,20.1,NA,850,Punjab
Central Haryana Institute of Technology 903,18004,995,30.0,271,31.2,A,753,Madhya Pradesh
Premier Delhi Business School 411,20134,1177,30.0,221,23.5,B++,812,Uttar Pradesh
Urban Andhra College of Engineering 504,4601,304,30.0,127,20.0,B+,882,Karnataka
Urban Uttar Institute of Management 22,12535,575,30.0,263,29.6,A,761,West Bengal
Indian Punjab Institute of Technology 504,5937,369,30.0,210,29.8,B,863,Kerala
National Kerala Medical College 730,22379,1439,30.0,57,20.0,A+,976,Madhya Pradesh
Premier Maharashtra Business School 878,7051,514,51.2,398,46.6,B,571,Uttar Pradesh
Rural Maharashtra Arts and Science College 234,4025,227,34.1,348,34.8,C,678,Haryana
Global Uttar Business School 801,14461,907,37.1,341,30.6,A,694,Madhya Pradesh
Premier West Business School 699,22037,1311,30.0,177,21.2,B,901,Madhya Pradesh
Rural Telangana College of Engineering 520,22935,1500,82.2,683,73.7,A,290,Madhya Pradesh
State Andhra College of Engineering 923,2854,130,46.0,508,60.8,C,515,Andhra Pradesh
Indian Karnataka Polytechnic 649,8484,352,36.6,443,49.2,NA,534,Kerala
Rural Maharashtra College of Engineering 793,4261,230,30.0,253,22.9,A,758,Gujarat
Central Telangana Institute of Technology 555,8042,395,30.0,315,32.9,B,665,Rajasthan
Regional Punjab Business School 448,13579,583,42.3,437,42.4,B+,555,Haryana
Urban Andhra Arts and Science College 106,7374,295,37.6,310,20.0,B+,727,Delhi
Central Tamil Institute of Management 417,2154,107,30.0,112,20.0,B,960,Kerala
Central Andhra Medical College 411,12995,551,30.0,190,20.0,B++,830,Telangana
Regional Rajasthan Institute of Management 516,1793,75,35.1,399,53.4,B+,559,Kerala
Central Telangana Polytechnic 699,6054,271,30.0,246,20.0,A,808,Rajasthan
Regional Bihar Institute of Management 111,512,28,30.0,214,38.5,B++,857,Haryana
Rural Karnataka College of Engineering 488,2627,201,31.5,261,22.9,C,802,Karnataka
Premier Haryana Institute of Management 131,11189,916,30.0,82,20.0,A+,927,Haryana
Rural Tamil Institute of Technology 230,21342,1172,37.2,332,25.9,B+,698,Madhya Pradesh
Urban Delhi Institute of Technology 241,19478,1057,46.1,279,20.0,A,764,Bihar
Central West Institute of Technology 460,2921,168,30.0,89,22.2,C,967,Bihar
Rural Delhi Institute of Management 516,1353,69,30.0,176,30.5,B+,879,Gujarat
Global West College of Engineering 836,8783,457,30.0,120,20.0,B++,965,Maharashtra
National Rajasthan Business School 536,16480,720,35.5,325,25.8,A,683,Kerala
Urban Andhra Arts and Science College 854,18794,1401,30.0,211,38.4,B++,774,Karnataka
Regional Tamil Institute of Management 682,20666,1384,30.0,145,20.0,NA,857,Uttar Pradesh
Central Karnataka Arts and Science College 696,8884,398,46.6,509,55.4,B+,514,Punjab
Global Gujarat University 469,4616,200,34.5,378,56.6,B++,654,Telangana
Indian Andhra Institute of Technology 134,1145,45,30.0,257,32.0,B,722,Kerala
National Uttar Institute of Technology 41,4098,175,30.0,269,49.3,B++,740,Haryana
Central Punjab Business School 99,2096,88,30.0,252,28.0,B++,744,Tamil Nadu
State Tamil College of Engineering 925,21589,1342,30.0,281,25.2,A,719,Haryana
State West Arts and Science College 840,7076,410,30.0,183,20.0,A,857,Telangana
Metropolitan West Polytechnic 164,20666,1334,66.4,530,40.8,B,467,Rajasthan
